Country_code_A3,activity_code,month_id,Daytype_id,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
SCG,ENE,1,1,0.02484472,0.02484472,0.02484472,0.02484472,0.02484472,0.026915114,0.031055901,0.037267081,0.045548654,0.055900621,0.060041408,0.066252588,0.074534161,0.072463768,0.070393375,0.064182195,0.055900621,0.045548654,0.037267081,0.031055901,0.026915114,0.02484472,0.02484472,0.02484472
SCG,ENE,1,2,0.033229491,0.033229491,0.033229491,0.033229491,0.033229491,0.034267913,0.036344756,0.039460021,0.043613707,0.048805815,0.050882658,0.053997923,0.05815161,0.057113188,0.056074766,0.052959502,0.048805815,0.043613707,0.039460021,0.036344756,0.034267913,0.033229491,0.033229491,0.033229491
SCG,ENE,1,3,0.037441498,0.037441498,0.037441498,0.037441498,0.037441498,0.037961518,0.03900156,0.040561622,0.042641706,0.04524181,0.046281851,0.047841914,0.049921997,0.049401976,0.048881955,0.047321893,0.04524181,0.042641706,0.040561622,0.03900156,0.037961518,0.037441498,0.037441498,0.037441498
SCG,ENE,2,1,0.02484472,0.02484472,0.02484472,0.02484472,0.02484472,0.026915114,0.031055901,0.037267081,0.045548654,0.055900621,0.060041408,0.066252588,0.074534161,0.072463768,0.070393375,0.064182195,0.055900621,0.045548654,0.037267081,0.031055901,0.026915114,0.02484472,0.02484472,0.02484472
SCG,ENE,2,2,0.033229491,0.033229491,0.033229491,0.033229491,0.033229491,0.034267913,0.036344756,0.039460021,0.043613707,0.048805815,0.050882658,0.053997923,0.05815161,0.057113188,0.056074766,0.052959502,0.048805815,0.043613707,0.039460021,0.036344756,0.034267913,0.033229491,0.033229491,0.033229491
SCG,ENE,2,3,0.037441498,0.037441498,0.037441498,0.037441498,0.037441498,0.037961518,0.03900156,0.040561622,0.042641706,0.04524181,0.046281851,0.047841914,0.049921997,0.049401976,0.048881955,0.047321893,0.04524181,0.042641706,0.040561622,0.03900156,0.037961518,0.037441498,0.037441498,0.037441498
SCG,ENE,3,1,0.02484472,0.02484472,0.02484472,0.02484472,0.02484472,0.026915114,0.031055901,0.037267081,0.045548654,0.055900621,0.060041408,0.066252588,0.074534161,0.072463768,0.070393375,0.064182195,0.055900621,0.045548654,0.037267081,0.031055901,0.026915114,0.02484472,0.02484472,0.02484472
SCG,ENE,3,2,0.033229491,0.033229491,0.033229491,0.033229491,0.033229491,0.034267913,0.036344756,0.039460021,0.043613707,0.048805815,0.050882658,0.053997923,0.05815161,0.057113188,0.056074766,0.052959502,0.048805815,0.043613707,0.039460021,0.036344756,0.034267913,0.033229491,0.033229491,0.033229491
SCG,ENE,3,3,0.037441498,0.037441498,0.037441498,0.037441498,0.037441498,0.037961518,0.03900156,0.040561622,0.042641706,0.04524181,0.046281851,0.047841914,0.049921997,0.049401976,0.048881955,0.047321893,0.04524181,0.042641706,0.040561622,0.03900156,0.037961518,0.037441498,0.037441498,0.037441498
SCG,ENE,4,1,0.02484472,0.02484472,0.02484472,0.02484472,0.02484472,0.026915114,0.031055901,0.037267081,0.045548654,0.055900621,0.060041408,0.066252588,0.074534161,0.072463768,0.070393375,0.064182195,0.055900621,0.045548654,0.037267081,0.031055901,0.026915114,0.02484472,0.02484472,0.02484472
SCG,ENE,4,2,0.033229491,0.033229491,0.033229491,0.033229491,0.033229491,0.034267913,0.036344756,0.039460021,0.043613707,0.048805815,0.050882658,0.053997923,0.05815161,0.057113188,0.056074766,0.052959502,0.048805815,0.043613707,0.039460021,0.036344756,0.034267913,0.033229491,0.033229491,0.033229491
SCG,ENE,4,3,0.037441498,0.037441498,0.037441498,0.037441498,0.037441498,0.037961518,0.03900156,0.040561622,0.042641706,0.04524181,0.046281851,0.047841914,0.049921997,0.049401976,0.048881955,0.047321893,0.04524181,0.042641706,0.040561622,0.03900156,0.037961518,0.037441498,0.037441498,0.037441498
SCG,ENE,5,1,0.02484472,0.02484472,0.02484472,0.02484472,0.02484472,0.026915114,0.031055901,0.037267081,0.045548654,0.055900621,0.060041408,0.066252588,0.074534161,0.072463768,0.070393375,0.064182195,0.055900621,0.045548654,0.037267081,0.031055901,0.026915114,0.02484472,0.02484472,0.02484472
